debug/a1_2_std,debug/a1_0,debug/q2,debug/a1_1,lrs/critic_lr,debug/q2_std,debug/a_0_std,debug/r_std,training_step_duration,memory_len,debug/a_2_std,debug/a2_1,return_train,_timestamp,debug/q1_std,debug/r,lrs/actor_lr,debug/backup,bc/bc_lambda,debug/q1,losses/loss_critic,debug/critic_grad_norm,episode_length_train,debug/a2_2_std,round_time,debug/q_a1_std,losses/loss_actor,debug/q_a1_targ_std,debug/backup_std,debug/a_2,debug/a_1,_runtime,debug/logp_a2,debug/log_pi_std,debug/demo_fraction_in_batch,_step,debug/a1_1_std,debug/a_1_std,idle_time,episode_length_test,debug/actor_grad_norm,debug/q_a1_targ,debug/q_a1,debug/d,debug/a2_1_std,debug/a1_0_std,debug/a2_0,return_test,debug/a2_0_std,debug/a2_2,debug/logp_a2_std,debug/log_pi,debug/d_std,debug/a_0,sampling_duration,debug/a1_2
0.4053131887,0.0075642943,0.4171670563,-0.0368163555,2e-05,0.1931846879,0.5126738818,0.0513142404,0.3599383736,2715,0.4998682624,-0.0368518943,1.8117552996,1772710849.1842766,0.1873508861,0.0561683819,5e-06,0.4323140016,0.0499974884,0.4195195052,0.0096421823,0.2233757631,210.0,0.4048859605,213.473076582,0.1015510997,-0.4302280868,0.082655281,0.2709671313,0.4876606025,0.0494204153,723.6611978,-1.8643175379,0.5278156823,0.0,0,0.5876167472,0.6102924132,159.2569479942,0,0.1900158989,0.1593807462,0.4115569676,0.0015755209,0.5886247349,0.5889087562,0.0089140707,0,0.5884692578,0.2454947983,0.5273958796,-1.8651306033,0.0362796166,0.5562623207,0.0013321368,0.2472395898
0.194714031,0.0280429845,0.6471780388,-0.0550213383,2e-05,0.3754676398,0.5135252982,0.0513318014,0.366329538,2715,0.4999364239,-0.056719533,1.8117552996,1772710849.185277,0.2754164037,0.0553030917,5e-06,0.6440529585,0.0499924651,0.7052021392,0.0075361603,0.3530686427,210.0,0.1948684175,55.1269419193,0.3038463032,-0.6768872456,0.1748493571,0.3759034946,0.4894704964,0.0500260277,723.6616968,-1.5261291671,0.646733427,0.0,1,0.586942877,0.6093652419,0.0,0,0.1076848647,0.3816403937,0.6615658426,0.0015798611,0.5859310945,0.5871193906,0.0281355682,0,0.5883275346,0.0407986122,0.6460301828,-1.5266560539,0.0366559098,0.5556626832,0.0011065245,0.0407595498
0.141124058,0.0386943243,0.8335252563,-0.0610205701,2e-05,0.5336004694,0.5142678247,0.052061135,0.3539177577,2715,0.49991587,-0.0632057568,1.8117552996,1772710849.1857762,0.4158597261,0.057736317,5e-06,0.8309858878,0.0499874418,0.8542804909,0.0096015487,0.5599281262,210.0,0.1395058071,53.2617168427,0.4632057335,-0.8270528098,0.3137600142,0.5212785858,0.4892144225,0.0508325544,723.6624141,-1.4532367833,0.5910637909,0.0,2,0.5862661437,0.6102257204,0.0,0,0.1071337043,0.5605633316,0.8124955602,0.0014930556,0.5851868554,0.5872742331,0.0394440681,0,0.587289803,0.0201215284,0.5852835856,-1.4553936577,0.0348284739,0.5552306334,0.0010761944,0.0205425353
0.1219041523,0.0377090856,0.9693285847,-0.0732176728,2e-05,0.6516720166,0.5138886265,0.0518557916,0.3683360259,2715,0.4998901953,-0.0718155876,1.8117552996,1772710849.1869993,0.5586580014,0.057190433,5e-06,0.9875726096,0.0499824186,1.0274958452,0.0110808798,0.672301763,210.0,0.1203362225,55.4476742744,0.6056123604,-1.0078816915,0.4542366467,0.6597657351,0.4882335178,0.0498784424,723.6634211,-1.4304285542,0.5625074806,0.0,3,0.5847279954,0.6091602321,0.0,0,0.0956322881,0.7238554637,0.9935822256,0.0017100695,0.5852342685,0.5852929493,0.0411364136,0,0.587189434,0.0149088546,0.5565964748,-1.4328365413,0.0388229394,0.5558635789,0.0012116512,0.0152777782
0.10669318,0.0410620914,1.1312534694,-0.0852094387,2e-05,0.7549799927,0.5132576778,0.0519714984,0.3166213703,2715,0.499904925,-0.08440443,1.8117552996,1772710849.1875002,0.6446918128,0.057505229,5e-06,1.1577227422,0.0499773953,1.250407062,0.0112604809,0.6186947961,210.0,0.1058436533,47.6833035946,0.7053190271,-1.2067989564,0.5766356126,0.7779637678,0.4890147696,0.0508582408,723.6643666,-1.4120922883,0.5355228096,0.0,4,0.5845630888,0.6114957503,0.0,0,0.0909894711,0.8969181267,1.1926690642,0.0018055556,0.5848446421,0.5857303774,0.0441050207,0,0.5860412792,0.0115017364,0.5328838853,-1.4132092675,0.0401759405,0.5574351803,0.0012105163,0.0116796879
0.0990767676,0.0403356743,1.2590461906,-0.0866069306,2e-05,0.8724976707,0.5133066857,0.0517945353,0.3150440248,2715,0.4999092694,-0.0843184057,1.8117552996,1772710849.188446,0.8202085265,0.0560961917,5e-06,1.2892863043,0.049972372,1.3578045297,0.0113185711,0.6172371049,210.0,0.0966251331,47.4476246834,0.8608279661,-1.3333104428,0.7032772835,0.9028644045,0.4892751841,0.0501370165,723.6654197,-1.404164842,0.5200231765,0.0,5,0.5851670102,0.6100830122,0.0,0,0.0807248562,1.0387772167,1.3192558388,0.0017317709,0.5852978237,0.5879396848,0.0415843182,0,0.5869575187,0.0096223961,0.5094253268,-1.4055220572,0.0391322717,0.5563990108,0.0011898915,0.0101085072
0.089826223,0.0398143308,1.4387360183,-0.0940912324,2e-05,0.996801095,0.5123465093,0.0512003751,0.3126250219,2715,0.4998743246,-0.095263808,1.8117552996,1772710849.189499,0.9253645913,0.0564390612,5e-06,1.4582834196,0.0499673488,1.548061475,0.0128999982,0.7229262764,210.0,0.0915162391,47.2261309624,0.9731623173,-1.5185411509,0.8223289382,1.0175681694,0.4886762263,0.0511411438,723.6659188,-1.396840318,0.5004842418,0.0,6,0.5839323791,0.6098200544,0.0,0,0.0814939008,1.2106796992,1.5045588398,0.0016536459,0.583998185,0.5869227227,0.0422961988,0,0.5873337551,0.0086588544,0.5095948527,-1.395098273,0.0383763339,0.5573372519,0.0010654449,0.0082986113
0.084572692,0.0398465442,1.5574568081,-0.094995533,2e-05,1.105420475,0.5129946542,0.0517582758,0.3589085166,2715,0.4999099418,-0.0960707238,1.8117552996,1772710849.1904984,1.0605113749,0.055859526,5e-06,1.5912393975,0.0499623255,1.663449986,0.0154447982,0.8800206051,210.0,0.0843731079,54.0208609104,1.0912540456,-1.6389699419,0.9418552184,1.1334653052,0.488628483,0.0509925283,723.6674226,-1.3887890029,0.492829351,0.0,7,0.5831032801,0.6099650884,0.0,0,0.0756428167,1.3499475598,1.6250797661,0.0015755209,0.5825876443,0.5864578827,0.0407905686,0,0.5869377764,0.0073307294,0.4914233623,-1.3899509335,0.0367581893,0.5559979939,0.0011531909,0.0073480905
0.0792991768,0.0335846477,1.7028872045,-0.091997532,2e-05,1.2186749188,0.5120722719,0.0512613173,0.3753773371,2715,0.4999433132,-0.0933466881,1.8117552996,1772710849.190998,1.1483342906,0.0552096415,5e-06,1.7310818068,0.0499573022,1.832803266,0.014847814,0.817393764,210.0,0.0805029821,56.796312809,1.1961422102,-1.7885832953,1.0554654984,1.2414487092,0.4906423734,0.0538202615,723.6674226,-1.3879827166,0.4774008856,0.0,8,0.583925519,0.6093376815,0.0,0,0.0740197197,1.4963205981,1.7747092414,0.0014279514,0.5829481574,0.5872564125,0.0318532057,0,0.5869748918,0.0067187502,0.4821682894,-1.3873713326,0.0338307963,0.5579646655,0.0032012669,0.0065017363
0.0708381492,0.0311171047,1.8487496265,-0.0946489348,2e-05,1.3054800065,0.515396119,0.0516289773,0.3924678866,2715,0.4999075037,-0.0933530855,1.8117552996,1772710849.191502,1.2624282138,0.0562348892,5e-06,1.9004733086,0.049952279,1.9824530458,0.0177475824,0.8711912381,210.0,0.0724567304,59.0968337059,1.2974713874,-1.9472613883,1.1637142388,1.3461372709,0.4895790029,0.0499659424,723.6684377,-1.3806276878,0.4524887792,0.0,9,0.5821438515,0.6099351005,0.0,0,0.0731729233,1.6651745494,1.9334572721,0.0015668403,0.5828824445,0.5874319069,0.0308482306,0,0.5879425681,0.0054340279,0.4588346187,-1.3797883034,0.0364778814,0.5551598299,0.0014408922,0.0052560765
