lrs/actor_lr,debug/a2_1_std,debug/q_a1,round_time,debug/a_0,debug/actor_grad_norm,sampling_duration,debug/q1_std,debug/q_a1_std,debug/backup,debug/log_pi_std,debug/a1_2_std,_step,debug/a2_2,debug/a1_0_std,debug/q1,debug/logp_a2,debug/d_std,debug/a_1_std,debug/a2_2_std,debug/log_pi,lrs/critic_lr,debug/d,debug/a_1,debug/a2_1,debug/q_a1_targ,debug/a1_1_std,debug/a_0_std,training_step_duration,debug/a_2_std,debug/a2_0,debug/r_std,losses/loss_critic,memory_len,debug/a1_2,debug/backup_std,debug/demo_fraction_in_batch,debug/q2_std,debug/a2_0_std,debug/q_a1_targ_std,_timestamp,debug/r,episode_length_test,losses/loss_actor,idle_time,return_train,debug/logp_a2_std,debug/a_2,debug/a1_0,episode_length_train,debug/q2,debug/a1_1,_runtime,return_test,debug/critic_grad_norm
1e-05,0.5912016547,0.4999190267,327.2342085838,0.3976284825,0.0286423414,0.0104787755,0.2004280599,0.100232137,0.5446237141,0.3645847771,0.598259446,0,-0.0476006595,0.5837521857,0.4928922017,-1.9891078897,0.0069426529,0.6400685801,0.5986962754,-1.9920679994,5e-05,0.0003450521,-0.2058792549,-0.0129906144,0.1579275377,0.5919926091,0.5174836741,0.0411938469,0.7097508574,0.0557453934,0.0976805833,0.015433499,5859,-0.0489729332,0.2852841866,0.0,0.2077311198,0.5849802087,0.0864290637,1772300746.480947,0.130709548,0,-0.5197793558,311.5162024498,180.4232330322,0.3653464064,-0.0140259548,0.0565940647,1488.0,0.4993814087,-0.0122844929,459.8268015,0,0.0572165871
1e-05,0.5867169565,0.9383854167,14.9157226086,0.396783692,0.0174296011,0.0100881894,0.3475911458,0.3085091146,0.9384562395,0.248653894,0.5870262676,1,-0.0345493764,0.5876874518,0.9348307292,-2.0394833732,0.0064142127,0.6397773099,0.5869500746,-2.0384804845,5e-05,0.0003255208,-0.2061611917,-0.0195939863,0.5602205733,0.5867491577,0.5185022921,0.0388791958,0.7100841614,0.0096799572,0.0965954914,0.0094652196,5859,-0.0405369401,0.3920192309,0.0,0.3489257812,0.5899032766,0.1935580139,1772300746.48162,0.1309362868,0,-0.9585715197,0.0,180.4232330322,0.2490958801,-0.0160443628,0.0109433316,1488.0,0.9351692708,-0.0200274157,459.8273018,0,0.1618222306
1e-05,0.5861903125,1.3803515625,14.5774919987,0.399475911,0.0168881399,0.0100664361,0.5505924479,0.5246549479,1.3856312948,0.237784,0.5874485383,2,-0.0094896342,0.5882637415,1.3766145833,-2.0418425067,0.0062668988,0.6385696669,0.5884550687,-2.0425582465,5e-05,0.0003190104,-0.2079779684,-0.0407488613,1.0153646777,0.5871997138,0.5173925484,0.0378778235,0.7084885887,0.0003494334,0.0966718086,0.0106303187,5859,-0.0110175804,0.5844810978,0.0,0.5524283854,0.589135024,0.378292511,1772300746.48162,0.1315912032,0,-1.4006042679,0.0,180.4232330322,0.2366830411,-0.0145729839,-0.0012452689,1488.0,1.3775651042,-0.0426096291,459.8278011,0,0.3146266537
1e-05,0.5866534116,1.8176822917,14.8476605415,0.3950348269,0.0159846962,0.0104078579,0.7828385417,0.7608723958,1.8252733386,0.2291665841,0.5870393451,3,0.0015023107,0.5861411536,1.814609375,-2.0441033848,0.006865604,0.6409451807,0.5879973199,-2.0447389277,5e-05,0.0003645833,-0.204077531,-0.0295136269,1.4720427553,0.5869736759,0.5207800665,0.0382578834,0.7094556932,0.0135615747,0.0965599081,0.0122707321,5859,-0.001619149,0.8095326629,0.0,0.7808007812,0.5861392248,0.6047010725,1772300746.4821205,0.1292248336,0,-1.8383649309,0.0,180.4232330322,0.2291907167,-0.0178129764,0.0143774137,1488.0,1.813515625,-0.0321621161,459.8283024,0,0.4848188511
1e-05,0.5864898707,2.2759895833,14.2673864365,0.4001222866,0.0165012983,0.0097548525,1.0195182292,1.0020963542,2.2918597639,0.2354300937,0.5880710387,4,-0.0064322367,0.5870154021,2.2742708333,-2.0441854485,0.0059371385,0.6390955486,0.5864067731,-2.0427729972,5e-05,0.0002929688,-0.2074455854,-0.0373972776,1.9389787424,0.5855661303,0.5159124911,0.0371702075,0.7092832788,-0.0134080647,0.0975482712,0.0146246093,5859,-0.0042746891,1.0406036774,0.0,1.0174609375,0.5871051097,0.8362038058,1772300746.4826198,0.1325057364,0,-2.2964475548,0.0,180.4232330322,0.236705414,-0.0124500665,-0.0140801346,1488.0,2.2726041667,-0.0404234434,459.8288018,0,0.7458435532
1e-05,0.5854582487,2.7123697917,14.4778234959,0.4002110974,0.0163612597,0.0102951129,1.26765625,1.2538151042,2.7305903828,0.2464809331,0.5885935054,5,-0.013438092,0.5867663739,2.7084114583,-2.0406773551,0.0063277143,0.6396868871,0.5882792236,-2.0402269348,5e-05,0.0003255208,-0.2070553779,-0.032198593,2.386045748,0.5851002582,0.5148071327,0.0373425357,0.7104710714,-0.0435435815,0.0977240827,0.0150101887,5859,-0.0145941434,1.2815526221,0.0,1.2674869792,0.5859193814,1.0822240313,1772300746.483121,0.1329249694,0,-2.7329532043,0.0,180.4232330322,0.2448759689,-0.0117241283,-0.041942261,1488.0,2.7106510417,-0.03428612,459.8288018,0,0.8584823692
1e-05,0.5857272436,3.1449479167,14.6915235519,0.396384227,0.0163199193,0.0101692708,1.4676041667,1.4507421875,3.162435743,0.2538350333,0.5875600823,6,-0.016833381,0.5851517924,3.1368229167,-2.0395706129,0.0043166855,0.6409332005,0.5888659861,-2.0393058912,5e-05,0.0002213542,-0.2019871972,-0.0360210541,2.8347298745,0.5857294331,0.5202574676,0.0380588007,0.7102436801,-0.0566101505,0.0960041666,0.0201613797,6607,-0.0178363837,1.4877482225,0.0,1.4679166667,0.5846758177,1.3033529109,1772300746.4836206,0.1307643365,0,-3.1659062115,0.0,141.6044273376,0.2568979425,-0.0164186997,-0.0562609948,1241.0,3.1453125,-0.0331874222,459.8293015,0,1.2512538285
1e-05,0.5881016944,3.55125,14.3423333168,0.3918792885,0.0161891339,0.0098161165,1.65109375,1.6315104167,3.5731820973,0.231063394,0.5877339911,7,0.0237285875,0.5883554375,3.54984375,-2.0439960337,0.0034490354,0.6430587327,0.5878955229,-2.0439200433,5e-05,0.00015625,-0.1961525367,-0.0172045192,3.2646734103,0.5873802779,0.5246058151,0.0373001281,0.7114670897,-0.0067367997,0.095510546,0.0249065172,6607,0.0213101697,1.6624828281,0.0,1.6488932292,0.5866014441,1.4903953505,1772300746.4841204,0.1276538354,0,-3.5716820312,0.0,63.9668159485,0.2295041184,-0.015721155,-0.0054402862,747.0,3.5453645833,-0.0145286055,459.8298023,0,1.5178380128
1e-05,0.5870334309,3.85609375,14.4295156002,0.3942241155,0.015854494,0.0102405151,1.9414973958,1.9217708333,3.8875769591,0.2341582727,0.5859223497,8,-0.0050899798,0.5864663082,3.8515625,-2.0434632357,0.0060587694,0.6440583553,0.5863757994,-2.043472681,5e-05,0.0003059896,-0.1948583127,-0.0127479404,3.589576358,0.5866206896,0.5211536705,0.0372109731,0.7119322159,-0.0364523726,0.0988228686,0.0284191004,6607,-0.0059519802,1.9477975337,0.0,1.9344921875,0.5869680671,1.770875449,1772300746.484621,0.1262809591,0,-3.876562558,0.0,63.9668159485,0.2372462858,-0.009644139,-0.0328101782,747.0,3.8529166667,-0.0169059798,459.8303012,0,1.9570497252
1e-05,0.5864669373,4.1925,14.7457556725,0.394060533,0.0155020752,0.0100906046,2.183046875,2.1654166667,4.2190758872,0.2345147567,0.5858354231,9,0.0179558803,0.5866365568,4.19046875,-2.0432476211,0.005997954,0.6434125086,0.5864601237,-2.044611361,5e-05,0.0002994792,-0.196843904,-0.0160637068,3.9274553784,0.5874016585,0.5222236182,0.0383839901,0.7105732926,0.0229950708,0.097918834,0.029517345,6607,0.0213111646,2.1896244399,0.0,2.1752864583,0.5869467034,2.0182356612,1772300746.484621,0.1265929127,0,-4.212896324,0.0,63.9668159485,0.2322960518,-0.0128996657,0.0196950304,747.0,4.1942708333,-0.0175309163,605.0623255,0,2.0290541554
