debug/a1_2_std,debug/q2,idle_time,debug/backup,debug/log_pi,debug/log_pi_std,episode_length_test,debug/a2_1_std,return_train,debug/a1_2,debug/a2_0_std,training_step_duration,debug/a_2,debug/q_a1,debug/a2_2_std,debug/demo_sampling_weight,_timestamp,debug/demo_fraction_in_batch,debug/a1_0,debug/a_1,episode_length_train,_runtime,debug/logp_a2,debug/a1_1,losses/loss_actor,_step,debug/d,debug/a_2_std,round_time,debug/q_a1_std,debug/a2_0,debug/q_a1_targ,debug/q1,debug/q_a1_targ_std,debug/backup_std,debug/logp_a2_std,debug/d_std,debug/a2_1,sampling_duration,debug/a_0_std,debug/actor_grad_norm,losses/loss_critic,debug/r,debug/a2_2,debug/a1_1_std,debug/critic_grad_norm,debug/a_1_std,memory_len,debug/a_0,lrs/actor_lr,lrs/critic_lr,debug/a1_0_std,debug/q2_std,return_test,debug/r_std,debug/q1_std
0.593093286,0.8802475259,300.5344853401,0.8992343296,-1.8175298481,0.5568751673,0,0.5985930256,0.0,0.0676788625,0.5894243335,0.049368693,0.11203125,0.8819251725,0.5935285107,1.14603775,1772090787.3018699,1.0,0.0346180852,0.0541341146,0.0,524.9923819,-1.8188194643,-0.0167386347,-0.9000730613,0,0.0,0.8190566027,321.3653070927,0.1597765646,0.0332305481,0.3211918583,0.8741475494,0.1269720948,0.2268784505,0.5585889439,0.0,-0.0149133721,0.0189924955,0.3910861483,0.0927709698,0.0055091486,0.5812543885,0.0699400973,0.6000288053,0.0374128335,0.2234481242,5283,0.8097786458,1e-05,5e-05,0.588480331,0.2052694669,0,0.1536590189,0.2013340306
0.586845625,1.6145487336,0.0,1.6215133178,-2.0339468344,0.2670674001,0,0.5888095278,0.0,0.0389016509,0.5884447889,0.0487161477,0.1106445312,1.6178595897,0.5868676378,1.14603775,1772090787.3023694,1.0,-0.0126337437,0.0533789062,0.0,524.9928823,-2.0354391448,-0.0096634694,-1.6382083952,1,0.0,0.8186181112,20.7337195873,0.3335723084,-0.0112962507,1.0524947506,1.615710361,0.2184069357,0.3528582704,0.2668003321,0.0,-0.0071059477,0.0193697206,0.3888311946,0.03944644,0.0022524581,0.5795435111,0.0365861256,0.5894410471,0.0403941396,0.2218265959,5283,0.8124934896,1e-05,5e-05,0.5882041238,0.3414498224,0,0.1548519808,0.3418247617
0.5873502151,2.3672895741,0.0,2.3727851554,-2.0425427461,0.2397624971,0,0.5872260416,0.0,0.0072485578,0.5890770668,0.0509866484,0.111015625,2.3701869007,0.5881904121,1.14603775,1772090787.3028688,1.0,0.0033980859,0.0534635417,0.0,524.9933826,-2.0412680141,-0.0035687001,-2.3906082749,2,0.0,0.8186500533,22.031090498,0.5092395287,0.00298896,1.8112893291,2.3682990611,0.3844678382,0.5205711973,0.2396392343,0.0,-0.0025104461,0.0215041192,0.3899709393,0.0378382769,0.0020877724,0.579608712,0.0091651334,0.5870231616,0.0683028862,0.2222627434,5283,0.8112369792,1e-05,5e-05,0.5882345315,0.5129676174,0,0.1541283938,0.5133480002
0.5888232503,3.1393716105,0.0,3.1439312426,-2.0422167746,0.2354068564,0,0.5863158005,0.0,-0.0016003931,0.5863106126,0.0529271706,0.11140625,3.1425111477,0.5888699748,1.14603775,1772090787.3033693,1.0,0.0010870522,0.0537825521,0.0,524.9933826,-2.0425162713,0.0010688396,-3.1629399109,3,0.0,0.8189345594,22.6179697514,0.6895157804,-0.0012792586,2.588872931,3.1402248065,0.5639421629,0.6987012215,0.2342963306,0.0,0.0062790861,0.0215617108,0.3899889136,0.0386380388,0.0022412141,0.5809470149,-0.0001637617,0.5881465177,0.0842375682,0.222416154,5283,0.8111067708,1e-05,5e-05,0.587095981,0.6920633219,0,0.1541001699,0.6925101376
0.5876052602,3.896007367,0.0,3.9007591518,-2.0426461705,0.2378352058,0,0.5881134421,0.0,0.0034130211,0.5881694976,0.0547606516,0.1132096354,3.8984344514,0.5872718002,1.14548425,1772090787.3038695,1.0,-0.0009799015,0.0539583333,0.0,524.9938807,-2.0417324956,-0.0139726121,-3.9188719328,4,0.0,0.8138823813,23.4527547359,0.8650570766,-0.0018471865,3.3643297187,3.8961297146,0.7448520811,0.8749879531,0.2374840363,0.0,-0.0116292699,0.0223820504,0.3889910209,0.0384900252,0.0035315554,0.5700727027,0.0071606158,0.5867786304,0.1732048727,0.2222181659,6021,0.8126822917,1e-05,5e-05,0.5880002187,0.8691064696,0,0.1564110228,0.8694061635
0.5870729744,4.6728770002,0.0,4.6778654941,-2.0432277107,0.2326774536,0,0.5872322659,0.0,0.0132334045,0.5871052039,0.0526713959,0.1108854167,4.6756853294,0.5876190039,1.14510975,1772090787.3043675,1.0,0.0113051772,0.0540039062,0.0,524.9943811,-2.0422878448,-0.0057723968,-4.6961159865,5,0.0,0.8150947787,22.6091971397,1.0410735889,0.0129040352,4.1445435953,4.6735028791,0.9223938382,1.0500747913,0.2330630202,0.0,-0.0055750335,0.0216809495,0.3893828977,0.0383815838,0.0034833304,0.5747673001,0.0159903153,0.5873503906,0.1658242324,0.2226429782,6770,0.8121809896,1e-05,5e-05,0.586610207,1.0433446989,0,0.154614126,1.0440201135
0.5873749057,5.4307570855,0.0,5.4342399311,-2.0435106866,0.2377353551,0,0.5871784921,0.0,-0.0092683372,0.5880613975,0.0559328151,0.1087565104,5.4329186567,0.5864237634,1.1449225,1772090787.3043675,1.0,0.0304046075,0.0519921875,0.0,524.9948821,-2.0426934107,-0.0043013004,-5.4533437888,6,0.0,0.814534353,23.5796604156,1.2161057913,0.0352710091,4.9080706644,5.4314777422,1.099885444,1.2242909471,0.2372155791,0.0,9.90379e-05,0.0216251715,0.3889767188,0.0390650538,0.0037832421,0.5752499883,-0.0074518601,0.5875479233,0.1888420206,0.2187799439,6770,0.8124804688,1e-05,5e-05,0.5872018133,1.2179377202,0,0.1533522973,1.2187058004
0.5879402055,6.182584211,0.0,6.1852440135,-2.0413195054,0.240121924,0,0.5875013256,0.0,-0.0209655076,0.5867583801,0.056485072,0.1099348958,6.184884599,0.5862527255,1.144547,1772090787.304868,1.0,0.0131054375,0.0528190104,0.0,524.9948821,-2.0418174545,0.0217912198,-6.2053005934,7,0.0,0.8149505544,23.6395628452,1.3870543635,0.0110793481,5.6663709688,6.183797315,1.2723575465,1.394112711,0.2407963263,0.0,0.0217294496,0.0212330087,0.3899510644,0.0397952505,0.004688412,0.5755366972,-0.0251544885,0.58736812,0.2833036361,0.2201807913,7521,0.8115494792,1e-05,5e-05,0.5862412506,1.3892182759,0,0.153495627,1.3901079845
0.5877596674,6.9248896376,0.0,6.9282478873,-2.0418040172,0.2389233325,0,0.5885890212,0.0,-0.0098626325,0.5870089072,0.0517416016,0.1111458333,6.9270708513,0.5876340739,1.14435925,1772090787.3053691,1.0,0.0257187823,0.0542708333,0.0,524.9953827,-2.0417514475,-0.0215527356,-6.9474947103,8,0.0,0.8136278701,22.1636772156,1.5616675838,0.022190881,6.4158650653,6.9245624892,1.447899708,1.5682761486,0.238691033,0.0,-0.0214664596,0.0211637918,0.3891218594,0.0394911267,0.0045278858,0.5765414226,-0.0106635164,0.5861634594,0.2497764501,0.2232859304,7521,0.8126367188,1e-05,5e-05,0.5878990702,1.5628572031,0,0.1536505485,1.5636421625
0.5873561714,7.6562523937,0.0,7.659732132,-2.0403132784,0.2421408708,0,0.5870086557,0.0,-0.0027008495,0.5859144982,0.0512236063,0.1108398438,7.6592329248,0.586780077,1.14397425,1772090787.3058698,1.0,-0.0336588877,0.0538997396,0.0,739.3631075,-2.0419148926,0.005559543,-7.6796429269,9,0.0,0.8130021211,22.2167594433,1.7250265308,-0.029927591,7.1551933066,7.6566739607,1.6151521508,1.7316604555,0.2423778514,0.0,0.0047786566,0.0218647941,0.3892574133,0.0391614979,0.0045744038,0.5760907414,-0.0010162865,0.5872046733,0.247659425,0.2222768829,8291,0.8123763021,1e-05,5e-05,0.5854168425,1.7255219289,0,0.1527380674,1.7262115995
